Date,Link,Message
2026-05-14 11:04:24,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7460157447266217985,Congratulations!
2026-04-07 13:57:27,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7447263965824430080,What was the latency on the link?
2026-03-14 12:10:38,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7438406331667197952,I am so happy that you landed in a great place! You are extremely talented and deserve to be somewhere you can soar. I loved working together. If I’m in Cedar Rapids we can meet up for some tacos.
2026-02-13 21:33:40,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7428147209684099072,I suppose “a beer” is not the correct answer to this question 😝
2026-02-06 18:54:02,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7424849970895196160,"I couldn’t agree more. Getting these “little things” right, consistently, makes it easier to troubleshoot and work on things in the future. I tell my kids, “Do your future self a favor,” like untying your shoes when you take them off. It might take more time right now but you don’t know how much time you have tomorrow."
2025-12-25 15:52:05,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7409395816420966400,"Does the person eating it like it? If so, it’s perfect!"
2025-12-25 15:46:11,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7406340518936387584,Welcome to the team!
2025-11-05 00:20:14,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7391533561025159169,Congratulations!
2025-10-16 21:14:17,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7384277525826478081,I try it about once every 4-5 months and I’m always disappointed.
2025-10-06 19:39:28,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7380965122397306881,Adam Austin also 0 calories!
2025-09-29 22:28:30,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7378510470955184128,Amazing! Can’t wait to see a show!
2025-09-29 18:35:15,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7378484555202211840,Congratulations! Wel deserved!
2025-09-06 12:54:06,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7369915258787991552,Congratulations!
2025-09-02 14:49:37,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7368649585767931904,Congratulations!
2025-09-02 13:25:59,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7368591959764021248,I’d take a down interface/circuit over a degraded one every time.
2025-05-23 13:10:04,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7331397941292670977,Congratulations!
2025-04-18 11:25:16,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7318632476157923328,Congrats Jim! 🎉
